name,pct_stem_2000,pct_business_2000,pct_health_2000,pct_arthuman_2000,pct_socialscience_2000,pct_publicsocial_2000,pct_multidisci_2000,pct_tradepersonal_2000,scorecard_median_earnings_2011
Houston Community College,6.6018424,22.517912,19.396111,1.432958,0.051177073,6.3459573,28.812691,14.841351,32700.0
Howard Community College,10.443038,20.569622,31.012659,0.0,5.0632911,0.0,32.594936,0.31645569,37500.0
Howard County Junior College District,11.224489,22.44898,36.05442,1.3605442,6.802721,3.4013605,3.7414966,14.965986,29200.0
Howard Payne University,10.42654,11.374408,2.3696682,7.5829382,43.601894,15.165876,9.478673,0.0,37300.0
Howard University,17.145271,19.087837,22.888514,10.89527,26.942566,0.8445946,2.195946,0.0,46500.0
Hudson County Community College,10.683761,27.350428,8.1196585,0.0,0.0,12.393163,33.760685,7.6923075,28500.0
Hudson Valley Community College,11.177249,18.518518,16.402117,0.26455027,0.33068782,9.7222223,32.076721,11.507936,36200.0
Humboldt State University,32.16885,5.5312953,2.547307,15.647743,23.726345,2.1834061,18.195051,0.0,36200.0
Huntingdon College,20.134228,15.436241,0.0,17.449665,31.543625,2.013423,13.422818,0.0,37100.0
Huntington University,6.5359478,16.339869,0.0,10.457516,44.444443,17.647058,4.5751634,0.0,35500.0
Husson University,8.363636,69.090912,19.272728,0.0,0.0,2.1818182,1.0909091,0.0,37100.0
Huston - Tillotson University,17.894737,34.736843,0.0,8.4210529,30.526316,6.3157897,2.1052632,0.0,30500.0
Hutchinson Community College,21.860466,20.232557,22.55814,2.3255816,10.232558,8.3720932,11.395349,3.0232558,31700.0
IBMC College,0.0,34.782608,65.217392,0.0,0.0,0.0,0.0,0.0,25200.0
ITI Technical College,61.965813,0.0,0.0,0.0,0.0,0.0,0.0,38.034187,41700.0
ITT Technical Institute,72.108841,0.87463558,0.0,1.5937804,0.0,0.0,0.0,25.422741,38475.297
Idaho State University,18.807871,22.222221,12.5,2.6620371,21.643518,6.1342592,1.6203704,14.409722,35400.0
Illinois And Ohio Center For Broadcasting,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,28442.414
Illinois Central College,7.4965611,18.431911,10.797799,1.7193948,0.13755158,4.4016504,46.354885,10.660248,32000.0
Illinois College,19.078947,19.078947,0.65789473,15.789474,40.13158,4.6052632,0.65789473,0.0,37700.0
Illinois Eastern Community Colleges - Olney Central College,10.966694,20.308693,17.465475,0.0,0.32493907,1.5434606,40.129974,9.2607632,28200.0
Illinois Institute Of Art ,0.0,11.320755,0.0,88.679245,0.0,0.0,0.0,0.0,34900.0
Illinois Institute Of Technology,94.181816,1.0909091,0.0,1.4545455,1.8181819,0.0,1.4545455,0.0,68200.0
Illinois School Of Health Careers,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,19300.0
Illinois State University,10.09828,23.513514,4.6191645,9.3366098,42.653564,6.9533172,2.8255529,0.0,45100.0
Illinois Valley Community College,2.7692308,15.384615,25.076923,0.0,0.15384616,1.6923077,46.153847,8.7692308,28600.0
Illinois Wesleyan University,18.882465,22.350674,5.7803469,22.543352,28.901733,0.0,1.5414258,0.0,54600.0
Immaculata University,4.7745357,52.785149,17.506632,7.4270554,11.936339,2.3872681,3.1830239,0.0,49000.0
Imperial Valley College,2.3166022,27.799229,21.814672,2.1235521,24.710424,6.5637064,13.706563,0.96525097,24500.0
Independence Community College,15.789474,25.563911,3.0075188,4.5112782,15.789474,1.5037594,33.834587,0.0,24500.0
Indian Hills Community College,10.593221,19.576271,15.084745,0.0,0.0,2.4576271,30.169491,22.118645,31500.0
Indian River State College,2.6101141,10.005438,24.089178,0.0,0.10875476,17.074495,33.659599,12.45242,28700.0
Indiana Institute Of Technology,9.6989965,88.294312,2.0066891,0.0,0.0,0.0,0.0,0.0,41100.0
Indiana State University,16.752911,14.877103,8.5381632,7.7619662,39.068562,0.84087968,9.2496767,2.9107373,36000.0
Indiana University - Purdue University - Ft Wayne,22.671755,23.740458,13.511451,5.2671757,18.167938,4.5801525,10.992367,1.0687023,35900.0
Indiana University Of Pennsylvania,8.1563711,26.206564,4.6332045,6.5154438,51.833977,0.0,2.6544402,0.0,38000.0
Indiana University System,9.6299725,23.885292,11.535615,7.2710452,27.271046,6.854764,13.256245,0.29602221,39941.473
Indiana Wesleyan University,0.81180811,65.682655,14.317343,2.1402214,7.8966789,6.0516605,3.0996311,0.0,46000.0
Institute For Business & Technology,53.508774,0.0,46.491226,0.0,0.0,0.0,0.0,0.0,35500.0
Institute Of Audio Research,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29600.0
Institute Of Technology,49.415207,40.058479,0.0,0.0,0.0,0.0,0.0,10.526316,26600.0
Interactive College Of Technology,56.209152,10.457517,0.0,0.0,0.0,0.0,0.0,33.333336,22700.0
Intercoast Colleges,0.0,48.178139,21.862349,0.0,0.0,29.959515,0.0,0.0,23300.0
"International Academy Of Design And Technology of Chicago, IL",21.963564,5.2631578,0.0,72.773277,0.0,0.0,0.0,0.0,25200.0
"International Academy Of Design And Technology of Orlando, FL",0.0,8.7248325,0.0,91.275169,0.0,0.0,0.0,0.0,27800.0
International Air & Hospitality Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26200.0
"International Business College of El Paso, TX",0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,19400.0
"International Business College of Fort Wayne, IN",10.462776,51.911469,14.486921,16.901409,0.0,6.2374244,0.0,0.0,27200.0
International Career Development Center,22.608694,44.347828,0.86956519,32.173912,0.0,0.0,0.0,0.0,20800.0
Iona College,6.3893013,31.203566,9.3610697,4.7548289,35.661221,11.144131,1.4858841,0.0,52700.0
Iowa Central Community College,2.3508136,4.3399639,27.124773,0.0,0.18083182,5.244123,46.65461,14.104882,32700.0
Iowa Lakes Community College,8.8235292,16.246498,22.829132,1.1204482,0.56022412,4.6218491,28.291317,17.507004,29700.0
